,모집직종,직무내용,경력조건,학력,전공,자격면허,우대조건
11,"DBA,MySQL","공공기관 데이터 표준 품질 업무 (가) 데이터 사업 수행 경력 최소 3년 이상 + PM 수행경험 보유 (나) 데이터관리체계 구축 컨설팅, 데이터 표준 수립, 데이터 품질진단, 데이터 개발 등 데이터 관련 사업 유경험자 (다) 빅데이터 분석 및 플랫폼 구축 사업 유경험자, 빅데이터 분석기술 보유자 (R, 파이썬 등) (라) KS_META_DQ 솔루션의 고도화 및 유지관리를 위한 개발인력 (마) 데이터 관련 자격증 소지자 우대 (DAP, ADP, 빅데이터분석기사, DQC-V 등)",경력 (최소 1년 이상),대졸(4년),-,-,-
12,"설문·리서치,데이터엔지니어,데이터사이언티스트",-,"신입, 경력 (연수무관)",대졸(2~3년),-,-,-
13,"자동차,전기·전자,일반사무","ㆍ자동차 데이터 비교 업무로, 자동차 전장에 대한 이해도가 있는 분과 엑셀등 기본적인 문서 작성을 할 수 있는 분을 모집하고 있습니다. ㆍ새로운 프로젝트인 만큼 데이터 분석에 대해 같이 배우고 업무에 실행할 예정입니다. 부담 없이 지원해 주세요.","신입, 경력 (최소 1년 이상)",대졸(2~3년),-,-,-
14,데이터엔지니어,-,경력 (최소 8년 이상),대졸(4년),-,-,-
15,"기획·전략,IT개발·데이터",-,무관,대졸(4년),-,-,-
16,IT개발·데이터,-,무관,대졸(4년),-,-,-
17,데이터 분석가(빅데이터 분석가) 직업정보,"- 신입 : 연봉 2,500 만원은 기본급 2,280 만원 + 상여금과 식대가 포함된 금액입니다. : 인센티브 별도. [ 인턴기간 :2개월 이내 기본급 월 174 만원 ] - 경력직 : 입찰 경력 있으신 분은 상호 협의 가능 ㆍ 공공기관 전자입찰 금액 분석 및 원격투찰. - 나라장터, 국방부, 한전 등 관공서 전자 입찰  발주 공고 분석 업무 및 업체 관리입니다. ㆍ전자입찰 분석 경험자 우대. - 신입도 충분히 가능합니다. 하지만 이쪽 계통에서는 영업 직원들은 구인하지만 분석 업무는 배울 기회가 없습니다. 저희도 경력직만 채용하다가 신입도 채용할려고 하는 거니 많은 지원 바랍니다~ ㆍ인근 거주자 ㆍ착실하고 책임감있는분. ㆍ다른뭔가를 찾고계시는분. ㆍ점심 시간 11시 45분~ 13시 15분 1시간 30분으로 충분한 휴식. ㆍ월~금(주 5일 근무) ㆍ9시 출근 ~ 오후 6시 퇴근 ( 점심시간 1시간 30분포함) ㆍ주5일만 근무합니다. ㆍ야근없고, 주말 근무 없습니다.",관계없음,대졸(2~3년),-,-,- 기타 (적극적인 자세와 긍정적인 마인드의 소유자)
18,-,-,신입/경력,석사,-,-,-
19,데이터 전문가,"[모집부문 및 상세내용] - 공통 자격요건 ㆍ학력 : 대졸 이상 (2,3년) [Database 기술 엔지니어 신입 및 경력직 채용	 2명] - 지원자격 ㆍ경력 : 신입/경력 2년 ~ 5년(면접 후 결정) ㆍ관계형 데이터베이스 구축 경험 ㆍDBMS 운영 및 장애 대응 ㆍ운영체제 및 네트워크에 대한 이해도 - 우대사항 ㆍ공학계열, 관련학과(전산학과) 졸업자 ㆍSQL 숙련자 ㆍ관련 인증 자격 소지자 ㆍ해당직무 근무경험 - 복리후생 ㆍ건강보험, 국민연금, 산재보험, 고용보혐 등 ㆍ정기 휴가 및 연차 사용 관리 ㆍ경조사비 지원 ㆍ근무시간 및 장소 유연성 제공 ㆍ업무 관련 교육 및 세미나 참석 기회 제공 ㆍ사내 우수 인원에 대한 승진 및 연봉 인상 기회 - 근무조건 ㆍ	근무형태	:	정규직(수습기간)-3개월 ㆍ	근무지역	:	(06083) 서울 강남구 영동대로 602, E동 6층 205호 - 서울 9호선 봉은사 에서 100m 이내 [전형절차] - 서류전형 1차면접 - 최종합격 유의사항 ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",경력 (최소 2년 이상) 우대,대졸(2~3년),전산학·컴퓨터공학(학과 : 컴퓨터공학과군),우대 : 정보처리기사,-
20,-,- 데이터 모델링 표준 정의 및 인스펙션 수행 - 데이터 관리 체계 수립 및 검토 수행 - 데이터베이스 아키텍처 설계 및 검토 수행 - 데이터베이스 아카이빙 정책 수립 및 검토 - 메타데이터 표준화 수행 - 성능 개선 및 튜닝 정책/가이드 관리 - 프로젝트 기획 및 구축 수행,경력 (최소 7년 이상),대졸(4년),-,-,-
21,데이터 분석가(빅데이터 분석가) 직업정보,"※ YOLO 기반 이미지/영상 실시간 분석, AIoT 융합기술 개발 [빅데이터플랫폼구축 > 빅데이터 플랫폼 아키텍처 설계] 빅데이터 플랫폼 인프라구조 설계하기,빅데이터 입출력구조 설계하기 [빅데이터플랫폼구축 > 빅데이터 수집시스템 개발] 빅데이터 수집시스템 설계하기,빅데이터 수집시스템 구성하기,빅데이터 수집·변환 모듈 개발하기,수집 데이터 검증모듈 개발하기 [빅데이터플랫폼구축 > 빅데이터 분석시스템 개발] 빅데이터 분석시스템 설계하기,빅데이터 분석시스템 구성하기,빅데이터 분석모듈 개발하기 [빅데이터플랫폼구축 > 빅데이터 플랫폼 테스트] 빅데이터 플랫폼 테스트 설계하기,빅데이터 플랫폼 기능 테스트하기,빅데이터 플랫폼 비기능 테스트하기",경력 (최소 1년 이상) 우대,대졸(4년) ~ 석사,전산학·컴퓨터공학(학과 : 전산학전공) 전자공학(학과 : 전기전자및컴퓨터공학부),-,-
22,SQL,- SQL을 사용한 데이터 추출 및 전처리를 통한 지표관리 - 데이터 시각화 및 대시보드(Tableau 등) 제작 및 운영 -  분석 요건 기획 및 데이터 수집 관리 - 데이터에 기반한 가설 수립 및 검증 - 각종 지표 정의 및 트래킹 자동화,"신입, 경력 (연수무관)",석사,-,-,"- AWS(DynamoDB, EC2, RDS), GCP(BigQuery), Google Analytics 사용 경험이 있으신 분"
